"province","last_updated","data__date","data__change_cases","data__change_fatalities","data__change_tests","data__change_hospitalizations","data__change_criticals","data__change_recoveries","data__change_vaccinations","data__change_vaccinated","data__change_vaccines_distributed","data__total_cases","data__total_fatalities","data__total_tests","data__total_hospitalizations","data__total_criticals","data__total_recoveries","data__total_vaccinations","data__total_vaccinated","data__total_vaccines_distributed"
"All","2021-04-01 10:36:07","2020-01-25","1","0","2","0","0","0","0","null","null","1","0","2","0","0","0","0","null","null"
"","","2020-01-26","1","0","4","0","0","0","0","null","null","2","0","6","0","0","0","0","null","null"
"","","2020-01-27","null","null","20","0","0","0","0","null","null","2","0","26","0","0","0","0","null","null"
"","","2020-01-28","1","0","10","0","0","0","0","null","null","3","0","36","0","0","0","0","null","null"
"","","2020-01-29","null","null","3","0","0","0","0","null","null","3","0","39","0","0","0","0","null","null"
"","","2020-01-30","null","null","26","0","0","0","0","null","null","3","0","65","0","0","0","0","null","null"
"","","2020-01-31","1","0","33","0","0","0","0","null","null","4","0","98","0","0","0","0","null","null"
"","","2020-02-01","null","null","23","0","0","0","0","null","null","4","0","121","0","0","0","0","null","null"
"","","2020-02-02","null","null","24","0","0","0","0","null","null","4","0","145","0","0","0","0","null","null"
"","","2020-02-03","null","null","16","0","0","0","0","null","null","4","0","161","0","0","0","0","null","null"
"","","2020-02-04","null","null","56","0","0","0","0","null","null","4","0","217","0","0","0","0","null","null"
"","","2020-02-05","1","0","50","0","0","0","0","null","null","5","0","267","0","0","0","0","null","null"
"","","2020-02-06","2","0","35","0","0","0","0","null","null","7","0","302","0","0","0","0","null","null"
"","","2020-02-07","null","null","63","0","0","0","0","null","null","7","0","365","0","0","0","0","null","null"
"","","2020-02-08","null","null","41","0","0","0","0","null","null","7","0","406","0","0","0","0","null","null"
"","","2020-02-09","null","null","30","0","0","0","0","null","null","7","0","436","0","0","0","0","null","null"
"","","2020-02-10","null","null","10","0","0","0","0","null","null","7","0","446","0","0","0","0","null","null"
"","","2020-02-11","null","null","37","0","0","0","0","null","null","7","0","483","0","0","0","0","null","null"
"","","2020-02-12","null","null","70","0","0","0","0","null","null","7","0","553","0","0","0","0","null","null"
"","","2020-02-13","null","null","55","0","0","0","0","null","null","7","0","608","0","0","0","0","null","null"
"","","2020-02-14","1","0","91","0","0","0","0","null","null","8","0","699","0","0","0","0","null","null"
"","","2020-02-15","null","null","44","0","0","0","0","null","null","8","0","743","0","0","0","0","null","null"
"","","2020-02-16","null","null","12","0","0","0","0","null","null","8","0","755","0","0","0","0","null","null"
"","","2020-02-17","null","null","29","0","0","0","0","null","null","8","0","784","0","0","0","0","null","null"
"","","2020-02-18","null","null","4","0","0","0","0","null","null","8","0","788","0","0","0","0","null","null"
"","","2020-02-19","null","null","101","0","0","0","0","null","null","8","0","889","0","0","0","0","null","null"
"","","2020-02-20","1","0","57","0","0","0","0","null","null","9","0","946","0","0","0","0","null","null"
"","","2020-02-21","null","null","65","0","0","0","0","null","null","9","0","1011","0","0","0","0","null","null"
"","","2020-02-22","null","null","45","0","0","0","0","null","null","9","0","1056","0","0","0","0","null","null"
"","","2020-02-23","1","0","44","0","0","0","0","null","null","10","0","1100","0","0","0","0","null","null"
"","","2020-02-24","1","0","17","0","0","0","0","null","null","11","0","1117","0","0","0","0","null","null"
"","","2020-02-25","null","null","61","0","0","0","0","null","null","11","0","1178","0","0","0","0","null","null"
"","","2020-02-26","1","0","76","0","0","0","0","null","null","12","0","1254","0","0","0","0","null","null"
"","","2020-02-27","2","0","230","0","0","0","0","null","null","14","0","1484","0","0","0","0","null","null"
"","","2020-02-28","2","0","134","0","0","0","0","null","null","16","0","1618","0","0","0","0","null","null"
"","","2020-02-29","4","0","182","0","0","0","0","null","null","20","0","1800","0","0","0","0","null","null"
"","","2020-03-01","4","0","105","0","0","7","0","null","null","24","0","1905","0","0","7","0","null","null"
"","","2020-03-02","3","0","122","0","0","0","0","null","null","27","0","2027","0","0","7","0","null","null"
"","","2020-03-03","6","0","1201","0","0","0","0","null","null","33","0","3228","0","0","7","0","null","null"
"","","2020-03-04","1","0","398","0","0","0","0","null","null","34","0","3626","0","0","7","0","null","null"
"","","2020-03-05","13","0","679","0","0","1","0","null","null","47","0","4305","0","0","8","0","null","null"
"","","2020-03-06","7","0","640","0","0","0","0","null","null","54","0","4945","0","0","8","0","null","null"
"","","2020-03-07","6","0","1002","0","0","0","0","null","null","60","0","5947","0","0","8","0","null","null"
"","","2020-03-08","6","1","1112","0","0","0","0","null","null","66","1","7059","0","0","8","0","null","null"
"","","2020-03-09","13","0","728","4","0","1","0","null","null","79","1","7787","4","0","9","0","null","null"
"","","2020-03-10","17","0","1876","1","0","0","0","null","null","96","1","9663","5","0","9","0","null","null"
"","","2020-03-11","22","1","1662","0","0","0","0","null","null","117","2","11325","5","0","9","0","null","null"
"","","2020-03-12","41","0","2450","0","0","0","0","null","null","158","2","13775","5","0","9","0","null","null"
"","","2020-03-13","40","0","4292","2","1","1","0","null","null","197","2","18067","7","1","10","0","null","null"
"","","2020-03-14","58","0","4046","2","1","0","0","null","null","253","2","22113","9","2","10","0","null","null"
"","","2020-03-15","84","0","5140","0","0","0","0","null","null","337","2","27253","9","2","10","0","null","null"
"","","2020-03-16","100","3","6044","8","0","0","0","null","null","433","5","33297","17","2","10","0","null","null"
"","","2020-03-17","155","3","8778","5","4","0","0","null","null","587","8","42075","22","6","10","0","null","null"
"","","2020-03-18","130","1","11003","9","8","1","0","null","null","717","9","53078","31","14","11","0","null","null"
"","","2020-03-19","146","3","13437","11","2","2","0","null","null","862","12","66515","42","16","13","0","null","null"
"","","2020-03-20","214","1","10640","10","8","2","0","null","null","1074","13","77155","52","24","15","0","null","null"
"","","2020-03-21","244","5","12793","16","7","1","0","null","null","1317","18","89948","68","31","16","0","null","null"
"","","2020-03-22","189","3","12268","8","4","2","0","null","null","1506","21","102216","76","35","18","0","null","null"
"","","2020-03-23","639","3","13248","27","9","94","0","null","null","2145","24","115464","103","44","112","0","null","null"
