"province","last_updated","data__date","data__change_cases","data__change_fatalities","data__change_tests","data__change_hospitalizations","data__change_criticals","data__change_recoveries","data__change_vaccinations","data__change_vaccinated","data__change_vaccines_distributed","data__total_cases","data__total_fatalities","data__total_tests","data__total_hospitalizations","data__total_criticals","data__total_recoveries","data__total_vaccinations","data__total_vaccinated","data__total_vaccines_distributed"
"on","2021-04-01 10:35:02","2020-01-25","1","0","0","0","0","0","null","null","null","1","0","0","0","0","0","null","null","null"
"","","2020-01-26","1","0","0","0","0","0","null","null","null","2","0","0","0","0","0","null","null","null"
"","","2020-01-27","null","null","0","0","0","0","null","null","null","2","0","0","0","0","0","null","null","null"
"","","2020-01-28","null","null","0","0","0","0","null","null","null","2","0","0","0","0","0","null","null","null"
"","","2020-01-29","null","null","0","0","0","0","null","null","null","2","0","0","0","0","0","null","null","null"
"","","2020-01-30","null","null","0","0","0","0","null","null","null","2","0","0","0","0","0","null","null","null"
"","","2020-01-31","1","0","0","0","0","0","null","null","null","3","0","0","0","0","0","null","null","null"
"","","2020-02-01","null","null","0","0","0","0","null","null","null","3","0","0","0","0","0","null","null","null"
"","","2020-02-02","null","null","0","0","0","0","null","null","null","3","0","0","0","0","0","null","null","null"
"","","2020-02-03","null","null","0","0","0","0","null","null","null","3","0","0","0","0","0","null","null","null"
"","","2020-02-04","null","null","0","0","0","0","null","null","null","3","0","0","0","0","0","null","null","null"
"","","2020-02-05","null","null","0","0","0","0","null","null","null","3","0","0","0","0","0","null","null","null"
"","","2020-02-06","null","null","0","0","0","0","null","null","null","3","0","0","0","0","0","null","null","null"
"","","2020-02-07","null","null","0","0","0","0","null","null","null","3","0","0","0","0","0","null","null","null"
"","","2020-02-08","null","null","0","0","0","0","null","null","null","3","0","0","0","0","0","null","null","null"
"","","2020-02-09","null","null","0","0","0","0","null","null","null","3","0","0","0","0","0","null","null","null"
"","","2020-02-10","null","null","0","0","0","0","null","null","null","3","0","0","0","0","0","null","null","null"
"","","2020-02-11","null","null","0","0","0","0","null","null","null","3","0","0","0","0","0","null","null","null"
"","","2020-02-12","null","null","0","0","0","0","null","null","null","3","0","0","0","0","0","null","null","null"
"","","2020-02-13","null","null","0","0","0","0","null","null","null","3","0","0","0","0","0","null","null","null"
"","","2020-02-14","null","null","0","0","0","0","null","null","null","3","0","0","0","0","0","null","null","null"
"","","2020-02-15","null","null","0","0","0","0","null","null","null","3","0","0","0","0","0","null","null","null"
"","","2020-02-16","null","null","0","0","0","0","null","null","null","3","0","0","0","0","0","null","null","null"
"","","2020-02-17","null","null","0","0","0","0","null","null","null","3","0","0","0","0","0","null","null","null"
"","","2020-02-18","null","null","0","0","0","0","null","null","null","3","0","0","0","0","0","null","null","null"
"","","2020-02-19","null","null","0","0","0","0","null","null","null","3","0","0","0","0","0","null","null","null"
"","","2020-02-20","null","null","0","0","0","0","null","null","null","3","0","0","0","0","0","null","null","null"
"","","2020-02-21","null","null","0","0","0","0","null","null","null","3","0","0","0","0","0","null","null","null"
"","","2020-02-22","null","null","0","0","0","0","null","null","null","3","0","0","0","0","0","null","null","null"
"","","2020-02-23","1","0","0","0","0","0","null","null","null","4","0","0","0","0","0","null","null","null"
"","","2020-02-24","null","null","0","0","0","0","null","null","null","4","0","0","0","0","0","null","null","null"
"","","2020-02-25","null","null","0","0","0","0","null","null","null","4","0","0","0","0","0","null","null","null"
"","","2020-02-26","1","0","0","0","0","0","null","null","null","5","0","0","0","0","0","null","null","null"
"","","2020-02-27","1","0","0","0","0","0","null","null","null","6","0","0","0","0","0","null","null","null"
"","","2020-02-28","2","0","0","0","0","0","null","null","null","8","0","0","0","0","0","null","null","null"
"","","2020-02-29","3","0","0","0","0","0","null","null","null","11","0","0","0","0","0","null","null","null"
"","","2020-03-01","4","0","0","0","0","3","null","null","null","15","0","0","0","0","3","null","null","null"
"","","2020-03-02","3","0","0","0","0","0","null","null","null","18","0","0","0","0","3","null","null","null"
"","","2020-03-03","2","0","993","0","0","0","null","null","null","20","0","993","0","0","3","null","null","null"
"","","2020-03-04","null","null","88","0","0","0","null","null","null","20","0","1081","0","0","3","null","null","null"
"","","2020-03-05","2","0","155","0","0","1","null","null","null","22","0","1236","0","0","4","null","null","null"
"","","2020-03-06","6","0","252","0","0","0","null","null","null","28","0","1488","0","0","4","null","null","null"
"","","2020-03-07","null","null","203","0","0","0","null","null","null","28","0","1691","0","0","4","null","null","null"
"","","2020-03-08","3","0","255","0","0","0","null","null","null","31","0","1946","0","0","4","null","null","null"
"","","2020-03-09","4","0","177","0","0","1","null","null","null","35","0","2123","0","0","5","null","null","null"
"","","2020-03-10","1","0","259","0","0","0","null","null","null","36","0","2382","0","0","5","null","null","null"
"","","2020-03-11","6","1","253","0","0","0","null","null","null","42","1","2635","0","0","5","null","null","null"
"","","2020-03-12","18","0","295","0","0","0","null","null","null","60","1","2930","0","0","5","null","null","null"
"","","2020-03-13","20","0","719","0","0","0","null","null","null","80","1","3649","0","0","5","null","null","null"
"","","2020-03-14","23","0","900","0","0","0","null","null","null","103","1","4549","0","0","5","null","null","null"
